iter	Logloss
158	0.4438452028
159	0.4437980147
160	0.4432231408
161	0.4432231371
162	0.4429722787
163	0.4427626
164	0.4423034489
165	0.4422839899
166	0.4420823421
167	0.4415968125
168	0.4412956213
169	0.4408501029
170	0.4406822336
171	0.4404296699
172	0.4401996575
173	0.4400737484
174	0.4398078498
175	0.4394498124
176	0.4391350401
177	0.4389449686
178	0.4388263105
179	0.4387359134
180	0.438656762
181	0.4384024311
182	0.4381158589
183	0.4380203308
184	0.4376413634
185	0.4369641625
186	0.436620911
187	0.4364023133
188	0.4360682742
189	0.4358738832
190	0.4355310255
191	0.435434134
192	0.4354334011
193	0.4348923307
194	0.4343651988
195	0.4343561069
196	0.4339132176
197	0.4334986454
198	0.4328674164
199	0.4324325881
200	0.4322702297
201	0.432066019
202	0.4316988516
203	0.431426913
204	0.4313491217
205	0.4311453636
206	0.4308136081
207	0.4308087638
208	0.4305916081
209	0.4303063055
210	0.4301681587
211	0.4298624912
212	0.4297097484
213	0.4294558883
214	0.4292787237
215	0.4289542398
216	0.4287822064
217	0.4287747674
218	0.4285579193
219	0.4285061324
220	0.4282383969
221	0.4278903345
222	0.4276648044
223	0.4273685896
224	0.4268214494
225	0.4263572524
226	0.4259026433
227	0.4256809585
228	0.4250585443
229	0.4246840247
230	0.4244592317
231	0.4241983875
232	0.4237856016
233	0.4233257614
234	0.4231047722
235	0.4228124676
236	0.4223743662
237	0.4221689216
238	0.4217818165
239	0.4213396309
240	0.4211930686
241	0.4211896116
242	0.4211095053
243	0.4205417266
244	0.4202278219
245	0.4198517567
246	0.4196679482
247	0.4192047065
248	0.4186494624
249	0.4183491821
250	0.418082361
251	0.4178819063
252	0.4174478183
253	0.4170643983
254	0.4166712838
255	0.4165660377
256	0.416108214
257	0.4156467405
258	0.4153577131
259	0.415133212
260	0.4146942984
261	0.4143846193
262	0.4140745665
263	0.4139405517
264	0.4136571253
265	0.4135151411
266	0.4132232422
267	0.4129591551
268	0.4127209222
269	0.4125202908
270	0.4123280829
271	0.4122169951
272	0.4117609332
273	0.411639727
274	0.4112925688
275	0.4109498935
276	0.4104359642
277	0.4102559525
278	0.4101844648
279	0.4098861819
280	0.4094751154
281	0.4094097044
282	0.4091633956
283	0.408874801
284	0.4083082131
285	0.4081232446
286	0.407792069
287	0.4076712233
288	0.4072458399
289	0.4070754896
290	0.4068641528
291	0.4067456028
292	0.4065132257
293	0.4061294238
294	0.4058365894
295	0.4056618109
296	0.405482504
297	0.4053370952
298	0.4052636745
299	0.4051562888
300	0.4047425328
301	0.4043600581
302	0.4041149624
303	0.4039231196
304	0.4038205362
305	0.4034721352
306	0.4033962065
307	0.4031334977
308	0.4029702093
309	0.4025639889
310	0.4023662922
311	0.4018889738
312	0.4015620005
313	0.4013239897
314	0.4009494908
315	0.4008411068
316	0.4004276024
317	0.4001658978
318	0.3998171297
319	0.3997146137
320	0.3995087045
321	0.3992111806
322	0.3991710248
323	0.3988446985
324	0.3983830785
325	0.3983409908
326	0.3980982385
327	0.3977147243
328	0.3975039977
329	0.3970942324
330	0.396623849
331	0.3964888138
332	0.3963156287
333	0.3959048735
334	0.3955507456
335	0.3949957621
336	0.3947669634
337	0.3943908131
338	0.3942933397
339	0.393975259
340	0.3933264794
341	0.3929503001
342	0.3928484168
343	0.3925218846
344	0.3923394545
345	0.3920807469
346	0.3918287364
347	0.3914074106
348	0.3909463751
349	0.3904976108
350	0.3902372119
351	0.3901506241
352	0.3896752767
353	0.3894368723
354	0.3892332462
355	0.3890656075
356	0.3888398231
357	0.3886558941
358	0.3885415162
359	0.3884119571
360	0.3883283697
361	0.3878847022
362	0.3876513798
363	0.3874431646
364	0.3873230599
365	0.3870175587
366	0.3868835103
367	0.3866507078
368	0.3864932811
369	0.3861863223
370	0.3859733783
371	0.385781176
372	0.3853128823
373	0.3850969811
374	0.3849073137
375	0.3849006097
376	0.384528131
377	0.3843738645
378	0.3843403073
379	0.3840837105
380	0.3837757911
381	0.3837173066
382	0.3835066083
383	0.3831250972
384	0.382698385
385	0.3823453109
386	0.3822005745
387	0.382099202
388	0.3818316598
389	0.3814775989
390	0.3813313502
391	0.3810081736
392	0.3807858363
393	0.3802731995
394	0.3799002535
395	0.3797538152
396	0.3795993764
397	0.37915153
398	0.3789823139
399	0.3787326685
400	0.3784166322
401	0.3782429839
402	0.3780765989
403	0.3779561545
404	0.377722215
405	0.3772777274
406	0.3769386946
407	0.3768526289
408	0.3767897222
409	0.3764779098
410	0.3763708325
411	0.3761041104
412	0.3760241874
413	0.3758676843
414	0.3754632694
415	0.3753210609
416	0.3753177635
417	0.3751727873
418	0.375097767
419	0.3749219264
420	0.3747996029
421	0.3746123176
422	0.374453561
423	0.3742385145
424	0.3739471822
425	0.3736976101
426	0.3733872651
427	0.3733422813
428	0.3732053019
429	0.3729683492
430	0.3728884062
431	0.3728053234
432	0.3725479101
433	0.372235571
434	0.3719936608
435	0.371808051
436	0.3716542463
437	0.3712904499
438	0.3711345258
439	0.3708430953
440	0.3707766873
441	0.370486159
442	0.3702838912
443	0.3701439797
444	0.3700715665
445	0.3700195575
446	0.3697251064
447	0.3695748107
448	0.3691576827
449	0.3690480784
450	0.3688239358
451	0.3687119185
452	0.3683453823
453	0.3681830496
454	0.3679945939
455	0.3676970652
456	0.3676175004
457	0.367458507
458	0.3672943659
459	0.3671810083
460	0.3669923354
461	0.3666289915
462	0.3665544401
463	0.3664108208
464	0.3662625774
465	0.3660831838
466	0.3658864432
467	0.365817443
468	0.3656774748
469	0.3654633608
470	0.3648541163
471	0.3648233997
472	0.3644394073
473	0.3643251853
474	0.3639454616
475	0.3637619889
476	0.3634457867
477	0.3631785267
478	0.3629753166
479	0.3628014937
480	0.3626095547
481	0.3623226988
482	0.3620136712
483	0.3619234161
484	0.361728737
485	0.3615592549
486	0.3613445773
487	0.3608782343
488	0.3605613532
489	0.3604165443
490	0.3601583837
491	0.3598523649
492	0.3596546312
493	0.359586388
494	0.3592163451
495	0.3590503473
496	0.3590060834
497	0.3588601074
498	0.3586662089
499	0.3584968489
500	0.358381829
501	0.358263521
502	0.3580944939
503	0.3578511104
504	0.3576811402
505	0.3574002399
506	0.3572815737
507	0.3568580522
508	0.3566649477
509	0.3565550227
510	0.3564707132
511	0.3560714529
512	0.3558016713
513	0.3557182131
514	0.3556796885
515	0.3554796884
516	0.3553800774
517	0.3552337228
518	0.3550678664
519	0.3548369025
520	0.3545297714
521	0.3543424342
522	0.3542090278
523	0.3540637139
524	0.3537605127
525	0.3534814179
526	0.3534475778
527	0.3533252727
528	0.3531268599
529	0.3528890048
530	0.3527538179
531	0.3526322576
532	0.3524978841
533	0.3523427091
534	0.3522460638
535	0.3521233297
536	0.3517845249
537	0.3515573245
538	0.3512639662
539	0.3510948543
540	0.351012513
541	0.3507466556
542	0.3505159801
543	0.3503147949
544	0.3500291277
545	0.3495629655
546	0.3494641617
547	0.3493045655
548	0.3489550211
549	0.348647727
550	0.3485611279
551	0.3482756101
552	0.3480236896
553	0.3477178933
554	0.3476132183
555	0.3474480504
556	0.3472952454
557	0.3470903288
558	0.3467289938
559	0.346675545
560	0.3465898411
561	0.3462085287
562	0.3460644948
563	0.3458905222
564	0.3457081675
565	0.3456149782
566	0.3451437814
567	0.3450534439
568	0.344929224
569	0.344804531
570	0.3446753805
571	0.3446304919
572	0.3444992575
573	0.3441697376
574	0.3440903676
575	0.3440010432
576	0.3437424478
577	0.3435240997
578	0.3435145341
579	0.3433830568
580	0.3429930288
581	0.3423861555
582	0.3421758156
583	0.3420337101
584	0.3418405348
585	0.3417375934
586	0.3415455349
587	0.3412115209
588	0.3411178455
589	0.3409702105
590	0.3408268492
591	0.340665895
592	0.3405248678
593	0.3404428923
594	0.3401648045
595	0.3400325307
596	0.3398432115
597	0.3396608481
598	0.3395768086
599	0.3395312429
600	0.3392993245
601	0.3391381599
602	0.3389292935
603	0.3387589204
604	0.338662993
605	0.3386298948
606	0.338592161
607	0.3384956507
608	0.3383081078
609	0.3382076441
610	0.338077894
611	0.3379935185
612	0.337620884
613	0.3373969552
614	0.3371294857
615	0.3370056101
616	0.3368192677
617	0.3367256026
618	0.3365358838
619	0.336433531
620	0.3362271744
621	0.3361284516
622	0.3359177977
623	0.3357423748
624	0.3355025743
625	0.3354289079
626	0.3352185984
627	0.3350365486
628	0.3349845437
629	0.3348958528
630	0.3348707505
631	0.3346995236
632	0.3346284777
633	0.3344849392
634	0.3341045052
635	0.3340579493
636	0.3338870951
637	0.3335372619
638	0.3333588557
639	0.3332353136
640	0.3329177246
641	0.3327502661
642	0.3325487754
643	0.3324270382
644	0.3322888005
645	0.3320244619
646	0.3315809948
647	0.3313416887
648	0.3310901567
649	0.3308537847
650	0.3304613367
651	0.3300690057
652	0.3299708393
653	0.3298070624
654	0.3296775406
655	0.3295729527
656	0.3292130574
657	0.3291812919
658	0.329119241
659	0.3289409068
660	0.3287589325
661	0.3286062666
662	0.3285858315
663	0.3283565266
664	0.3282028294
665	0.3280076524
666	0.3279099
667	0.3276380512
668	0.3273926988
669	0.3273018142
670	0.3272742125
671	0.3271887349
672	0.3269487726
673	0.3268370655
674	0.326661108
675	0.3264650006
676	0.3263076611
677	0.3259819404
678	0.3258612031
679	0.3258433333
680	0.3256832424
681	0.3255098873
682	0.3253907021
683	0.3251441084
684	0.324984642
685	0.3248298031
686	0.3246225761
687	0.324515486
688	0.3244151339
689	0.3242768106
690	0.3239773493
691	0.3236802184
692	0.3236212165
693	0.3235801639
694	0.3234672747
695	0.3233378442
696	0.323280695
697	0.3231035078
698	0.3229506896
699	0.3227674167
700	0.3227643445
701	0.322617091
702	0.3224680071
703	0.3222502586
704	0.3222225902
705	0.3221816041
706	0.322057673
707	0.3220240669
708	0.3218881675
709	0.3217629535
710	0.3217256568
711	0.3216578397
712	0.3214836303
713	0.3214118891
714	0.3212789988
715	0.3211003979
716	0.3209715861
717	0.320945294
718	0.3207811067
719	0.3207574859
720	0.3206486008
721	0.3205914308
722	0.3204013765
723	0.3202313456
724	0.3202008993
725	0.3200972217
726	0.3198460408
727	0.3196749772
728	0.3195822683
729	0.3192925698
730	0.3192297207
731	0.3190276286
732	0.3187430145
733	0.318696875
734	0.318488273
735	0.3183937231
736	0.318173877
737	0.3181062812
738	0.3179053198
739	0.3177789921
740	0.3176688495
741	0.317645782
742	0.3175505584
743	0.3175114675
744	0.3173331053
745	0.3170580057
746	0.3170379039
747	0.3169764582
748	0.3167904369
749	0.3167620567
750	0.3166811953
751	0.3165820577
752	0.3164449599
753	0.3163021462
754	0.3161752723
755	0.316090118
756	0.3159214682
757	0.3157331792
758	0.3157111094
759	0.3156271358
760	0.3153885696
761	0.3152452394
762	0.3149296181
763	0.3147985945
764	0.3144719651
765	0.314264083
766	0.3141629142
767	0.3140528221
768	0.3138926908
769	0.3137955623
770	0.3136798787
771	0.3135753737
772	0.3135376906
773	0.3135077592
774	0.3134979504
775	0.3133936309
776	0.3132731184
777	0.3130385856
778	0.3129424364
779	0.3127661389
780	0.312705117
781	0.3125664344
782	0.312338206
783	0.312131633
784	0.3120844359
785	0.3119527445
786	0.3117665966
787	0.3116642708
788	0.3115469209
789	0.3114174374
790	0.3111213606
791	0.311013386
792	0.3109235772
793	0.310762113
794	0.3106393299
795	0.3103623831
796	0.3101286148
797	0.3099064356
798	0.3097329022
799	0.3096727254
800	0.3095049594
801	0.3094726822
802	0.3093628528
803	0.3092122271
804	0.309029001
805	0.3089401368
806	0.3085720626
807	0.3084711949
808	0.3081581144
809	0.3080607067
810	0.3077692117
811	0.3076979749
812	0.3074246746
813	0.3072936576
814	0.3072052309
815	0.3070537839
816	0.3068487674
817	0.3067991789
818	0.3067476016
819	0.3065683131
820	0.3064390189
821	0.3063453878
822	0.3062298646
823	0.3061477983
824	0.3060278115
825	0.3057926365
826	0.3057199596
827	0.3056092895
828	0.305529776
829	0.3054435086
830	0.3054240541
831	0.3053911724
832	0.3051201624
833	0.304864329
834	0.3044372081
835	0.3042575553
836	0.3042174228
837	0.3041596746
838	0.3039670192
839	0.3039147463
840	0.3037885529
841	0.3037125387
842	0.3037025033
843	0.3035982977
844	0.3035775213
845	0.3035343664
846	0.3034146066
847	0.3033423988
848	0.3032744827
849	0.3030998221
850	0.30304648
851	0.3029558012
852	0.3028722354
853	0.3025005873
854	0.302384923
855	0.3021870549
856	0.3019463738
857	0.3018388623
858	0.3017354877
859	0.3016737466
860	0.3015576735
861	0.3014231357
862	0.301298428
863	0.3011018801
864	0.3010480533
865	0.3008700564
866	0.3007573243
867	0.3005807355
868	0.300476842
869	0.3003911834
870	0.3003189876
871	0.3001829915
872	0.3001006415
873	0.3000342238
874	0.2999402402
875	0.2998156917
876	0.2995544331
877	0.2992147968
878	0.2989495949
879	0.2987995667
880	0.2986023808
881	0.2985408118
882	0.2982515488
883	0.2980898673
884	0.2979089248
885	0.2978414286
886	0.297675784
887	0.2975802471
888	0.2975142918
889	0.2973071003
890	0.297236499
891	0.2970747216
892	0.2970587231
893	0.2969532441
894	0.2967531139
895	0.296547724
896	0.2962819962
897	0.2962173585
898	0.2960886956
899	0.2960328035
900	0.2958641587
901	0.2957598782
902	0.2955596554
903	0.2954856283
904	0.2954187326
905	0.2953374457
906	0.2952862512
907	0.2950466591
908	0.2947700882
909	0.2947006878
910	0.2946133562
911	0.2944879312
912	0.2942215705
913	0.2941662169
914	0.2940845372
915	0.2939094432
916	0.2937248736
917	0.2936058398
918	0.2935141213
919	0.2934680245
920	0.2932037251
921	0.2931839349
922	0.2931168247
923	0.2929502469
924	0.2927939997
925	0.2927018331
926	0.2925298566
927	0.2925058652
928	0.2924447644
929	0.2923983763
930	0.2923171206
931	0.2921464246
932	0.2920889735
933	0.2919801419
934	0.2917999772
935	0.2917086977
936	0.2914068572
937	0.2912135025
938	0.2910575199
939	0.2910113727
940	0.2909127039
941	0.2907748244
942	0.2907007679
943	0.2905462789
944	0.2903916232
945	0.2902931265
946	0.2899788713
947	0.2897620896
948	0.2896010709
949	0.2894800176
950	0.2893172845
951	0.2892536574
952	0.2889897149
953	0.2888004033
954	0.2887212973
955	0.2885317869
956	0.2884302892
957	0.2883032832
958	0.2882188986
959	0.2880866458
960	0.2878834086
961	0.2877623341
962	0.287682296
963	0.2876300949
964	0.2874321379
965	0.2872537355
966	0.2870891629
967	0.2869349937
968	0.2866365381
969	0.286479251
970	0.2864270522
971	0.2863240791
972	0.2862384683
973	0.2861023785
974	0.2860153395
975	0.2859893699
976	0.2857237732
977	0.2854906642
978	0.2854450467
979	0.285308902
980	0.2852533339
981	0.2851942191
982	0.2850359227
983	0.2847590292
984	0.2846620158
985	0.2843542205
986	0.2843228008
987	0.2842177642
988	0.2841393511
989	0.2841337128
990	0.2840611766
991	0.2840051746
992	0.2839286193
993	0.283754894
994	0.283688426
995	0.2836067947
996	0.2834253047
997	0.2833287103
998	0.2833109306
999	0.2832756652
